Corr-Dir,i,j,ID,Dir,Order
1.1,80332,80855,80332-80855,EB,1
1.1,80855,83106,80855-83106,EB,2
1.1,83106,84464,83106-84464,EB,3
1.1,84464,85155,84464-85155,EB,4
1.1,85155,86395,85155-86395,EB,5
1.1,86395,87422,86395-87422,EB,6
1.1,87422,88036,87422-88036,EB,7
1.2,88036,87422,88036-87422,WB,1
1.2,87422,86395,87422-86395,WB,2
1.2,86395,85155,86395-85155,WB,3
1.2,85155,84464,85155-84464,WB,4
1.2,84464,83106,84464-83106,WB,5
1.2,83106,80855,83106-80855,WB,6
1.2,80855,80332,80855-80332,WB,7
2.1,73064,73202,73064-73202,NB,1
2.1,73202,73288,73202-73288,NB,2
2.1,73288,73305,73288-73305,NB,3
2.1,73305,73309,73305-73309,NB,4
2.1,73309,73331,73309-73331,NB,5
2.1,73331,73937,73331-73937,NB,6
2.1,73937,75020,73937-75020,NB,7
2.1,75020,75085,75020-75085,NB,8
2.1,75085,75256,75085-75256,NB,9
2.1,75256,75280,75256-75280,NB,10
2.1,75280,198377,75280-198377,NB,11
2.1,198377,75927,198377-75927,NB,12
2.1,75927,76248,75927-76248,NB,13
2.1,76248,76876,76248-76876,NB,14
2.1,76876,77959,76876-77959,NB,15
2.1,77959,78007,77959-78007,NB,16
2.1,78007,78034,78007-78034,NB,17
2.1,78034,78382,78034-78382,NB,18
2.1,78382,78600,78382-78600,NB,19
2.1,78600,78770,78600-78770,NB,20
2.1,78770,78826,78770-78826,NB,21
2.1,78826,78873,78826-78873,NB,22
2.1,78873,79069,78873-79069,NB,23
2.1,79069,79295,79069-79295,NB,24
2.1,79295,80210,79295-80210,NB,25
2.1,80210,80322,80210-80322,NB,26
2.2,80322,80210,80322-80210,NB,1
2.2,80210,79295,80210-79295,SB,2
2.2,79295,79069,79295-79069,SB,3
2.2,79069,78873,79069-78873,SB,4
2.2,78873,78826,78873-78826,SB,5
2.2,78826,78770,78826-78770,SB,6
2.2,78770,78600,78770-78600,SB,7
2.2,78600,78382,78600-78382,SB,8
2.2,78382,78034,78382-78034,SB,9
2.2,78034,78007,78034-78007,SB,10
2.2,78007,77959,78007-77959,SB,11
2.2,77959,76876,77959-76876,SB,12
2.2,76876,76248,76876-76248,SB,13
2.2,76248,75927,76248-75927,SB,14
2.2,75927,198377,75927-198377,SB,15
2.2,198377,75280,198377-75280,SB,16
2.2,75280,75256,75280-75256,SB,17
2.2,75256,75085,75256-75085,SB,18
2.2,75085,75020,75085-75020,SB,19
2.2,75020,73937,75020-73937,SB,20
2.2,73937,73331,73937-73331,SB,21
2.2,73331,73309,73331-73309,SB,22
2.2,73309,73305,73309-73305,SB,23
2.2,73305,73288,73305-73288,SB,24
2.2,73288,73202,73288-73202,SB,25
2.2,73202,73064,73202-73064,SB,26
3.1,92388,92189,92388-92189,NB,1
3.1,92189,92066,92189-92066,NB,2
3.1,92066,91833,92066-91833,NB,3
3.1,91833,91248,91833-91248,NB,4
3.1,91248,86395,91248-86395,NB,5
3.1,90957,90867,90957-90867,NB,6
3.1,90867,90067,90867-90067,NB,7
3.1,90067,89919,90067-89919,NB,8
3.1,89919,89391,89919-89391,NB,9
3.1,89391,89064,89391-89064,NB,10
3.1,89064,88922,89064-88922,NB,11
3.1,88922,88801,88922-88801,NB,12
3.1,88801,88595,88801-88595,NB,13
3.1,88595,88413,88595-88413,NB,14
3.1,88413,88036,88413-88036,NB,15
3.2,88036,88413,88036-88413,SB,1
3.2,88413,88595,88413-88595,SB,2
3.2,88595,88801,88595-88801,SB,3
3.2,88801,88922,88801-88922,SB,4
3.2,88922,89064,88922-89064,SB,5
3.2,89064,89391,89064-89391,SB,6
3.2,89391,89919,89391-89919,SB,7
3.2,89919,90067,89919-90067,SB,8
3.2,90067,90867,90067-90867,SB,9
3.2,90867,90957,90867-90957,SB,10
3.2,90957,91248,90957-91248,SB,11
3.2,91248,91833,91248-91833,SB,12
3.2,91833,92066,91833-92066,SB,13
3.2,92066,92189,92066-92189,SB,14
3.2,92189,92388,92189-92388,SB,15
4.1,73305,73676,73305-73676,EB,1
4.1,73676,77891,73676-77891,EB,2
4.1,77891,83570,77891-83570,EB,3
4.1,83570,84659,83570-84659,EB,4
4.1,84659,86395,84659-86395,EB,5
4.1,84922,85347,84922-85347,EB,6
4.1,85347,85755,85347-85755,EB,7
4.1,85755,87090,85755-87090,EB,8
4.1,87090,87430,87090-87430,EB,9
4.1,87430,87771,87430-87771,EB,10
4.1,87771,90652,87771-90652,EB,11
4.1,90652,91090,90652-91090,EB,12
4.1,91090,91411,91090-91411,EB,13
4.1,91411,91547,91411-91547,EB,14
4.1,91547,92237,91547-92237,EB,15
4.2,92237,91547,92237-91547,WB,1
4.2,91547,91090,91547-91090,WB,2
4.2,91090,90652,91090-90652,WB,3
4.2,90652,87771,90652-87771,WB,4
4.2,87771,87673,87771-87673,WB,5
4.2,87673,87430,87673-87430,WB,6
4.2,87430,87090,87430-87090,WB,7
4.2,87090,85755,87090-85755,WB,8
4.2,85755,85347,85755-85347,WB,9
4.2,85347,84922,85347-84922,WB,10
4.2,84922,84659,84922-84659,WB,11
4.2,84659,83570,84659-83570,WB,12
4.2,83570,77891,83570-77891,WB,13
4.2,77891,73676,77891-73676,WB,14
4.2,73676,73305,73676-73305,WB,15
5.1,84790,85536,84790-85536,EB,1
5.1,85536,86228,85536-86228,EB,2
5.1,86228,86839,86228-86839,EB,3
5.1,86839,88552,86839-88552,EB,4
5.1,88552,86395,88552-86395,EB,5
5.1,89986,91248,89986-91248,EB,6
5.2,91248,89986,91248-89986,WB,1
5.2,89986,88552,89986-88552,WB,2
5.2,88552,86839,88552-86839,WB,3
5.2,86839,86228,86839-86228,WB,4
5.2,86228,85536,86228-85536,WB,5
5.2,85536,84790,85536-84790,WB,6
6.1,84669,86286,84669-86286,EB,1
6.1,86286,90433,86286-90433,EB,2
6.1,90433,90680,90433-90680,EB,3
6.1,90680,91519,90680-91519,EB,4
6.1,91519,92388,91519-92388,EB,5
6.2,92388,91519,92388-91519,WB,1
6.2,91519,90680,91519-90680,WB,2
6.2,90680,90433,90680-90433,WB,3
6.2,90433,86286,90433-86286,WB,4
6.2,86286,84669,86286-84669,WB,5
7.1,88189,88140,88189-88140,NB,1
7.1,88140,88075,88140-88075,NB,2
7.1,88075,88066,88075-88066,NB,3
7.1,88066,88060,88066-88060,NB,4
7.1,88060,88056,88060-88056,NB,5
7.1,88056,86395,88056-86395,NB,6
7.1,88049,88025,88049-88025,NB,7
7.1,88025,88004,88025-88004,NB,8
7.1,88004,87990,88004-87990,NB,9
7.1,87990,87965,87990-87965,NB,10
7.1,87965,87937,87965-87937,NB,11
7.1,87937,87886,87937-87886,NB,12
7.1,87886,87923,87886-87923,NB,13
7.1,87923,88006,87923-88006,NB,14
7.1,88006,88163,88006-88163,NB,15
7.1,88163,88741,88163-88741,NB,16
7.1,88741,89108,88741-89108,NB,17
7.1,89108,89234,89108-89234,NB,18
7.1,89234,89261,89234-89261,NB,19
7.1,89261,90457,89261-90457,NB,20
7.1,90457,90682,90457-90682,NB,21
7.1,90682,91134,90682-91134,NB,22
7.1,91134,91532,91134-91532,NB,23
7.1,91532,91608,91532-91608,NB,24
7.1,91608,91859,91608-91859,NB,25
7.1,91859,91892,91859-91892,NB,26
7.1,91892,92237,91892-92237,NB,27
7.1,92000,92077,92000-92077,,28
7.1,92077,92237,92077-92237,,29
7.2,92237,92077,92237-92077,NB,1
7.2,92077,92000,92077-92000,SB,2
7.2,92000,91892,92000-91892,SB,3
7.2,91892,91859,91892-91859,SB,4
7.2,91859,91608,91859-91608,SB,5
7.2,90888,90695,90888-90695,SB,6
7.2,90695,90559,90695-90559,SB,7
7.2,90559,89279,90559-89279,SB,8
7.2,89279,89183,89279-89183,SB,9
7.2,89183,88836,89183-88836,SB,10
7.2,88836,88072,88836-88072,SB,11
7.2,88072,87827,88072-87827,SB,12
7.2,87827,87808,87827-87808,SB,13
7.2,87808,87779,87808-87779,SB,14
7.2,87779,87805,87779-87805,SB,15
7.2,87805,87832,87805-87832,SB,16
7.2,87832,87851,87832-87851,SB,17
7.2,87851,87916,87851-87916,SB,18
7.2,87916,87934,87916-87934,SB,19
7.2,87934,87941,87934-87941,SB,20
7.2,87941,87946,87941-87946,SB,21
7.2,87946,87944,87946-87944,SB,22
7.2,87944,88017,87944-88017,SB,23
7.2,88017,88108,88017-88108,SB,24
7.2,88108,88086,88108-88086,SB,25
8.1,100092,100648,100092-100648,NB,1
8.1,100648,101090,100648-101090,NB,2
8.1,101090,101089,101090-101089,NB,3
8.1,101089,101102,101089-101102,NB,4
8.1,101102,86395,101102-86395,NB,5
8.1,101094,101093,101094-101093,NB,6
8.1,101093,101005,101093-101005,NB,7
8.1,101005,100761,101005-100761,NB,8
8.1,100761,99845,100761-99845,NB,9
8.1,99845,99817,99845-99817,NB,10
8.1,99817,99600,99817-99600,NB,11
8.1,99600,99505,99600-99505,NB,12
8.1,99505,99460,99505-99460,NB,13
8.1,99460,99340,99460-99340,NB,14
8.1,99340,98910,99340-98910,NB,15
8.1,98910,98120,98910-98120,NB,16
8.1,98120,97900,98120-97900,NB,17
8.1,97900,97800,97900-97800,NB,18
8.1,97800,97723,97800-97723,NB,19
8.1,97723,97542,97723-97542,NB,20
8.1,97542,97018,97542-97018,NB,21
8.1,97018,96961,97018-96961,NB,22
8.1,96961,96697,96961-96697,NB,23
8.1,96697,96598,96697-96598,NB,24
8.1,96598,94573,96598-94573,NB,25
8.1,94573,93898,94573-93898,NB,26
8.1,93898,93160,93898-93160,NB,27
8.1,93160,92145,93160-92145,NB,28
8.1,92145,91358,92145-91358,NB,29
8.1,91358,91025,91358-91025,NB,30
8.1,91025,90682,91025-90682,NB,31
8.2,90682,91025,90682-91025,SB,1
8.2,91025,91358,91025-91358,SB,2
8.2,91358,92145,91358-92145,SB,3
8.2,92145,93160,92145-93160,SB,4
8.2,93160,93898,93160-93898,NB,5
8.2,93898,94573,93898-94573,SB,6
8.2,94573,96598,94573-96598,SB,7
8.2,96598,96697,96598-96697,SB,8
8.2,96697,96961,96697-96961,SB,9
8.2,96961,97018,96961-97018,SB,10
8.2,97018,97542,97018-97542,SB,11
8.2,97542,97723,97542-97723,SB,12
8.2,97723,97800,97723-97800,SB,13
8.2,97800,97900,97800-97900,SB,14
8.2,97900,98120,97900-98120,SB,15
8.2,98120,98910,98120-98910,SB,16
8.2,98910,99340,98910-99340,SB,17
8.2,99340,99460,99340-99460,SB,18
8.2,99460,99505,99460-99505,SB,19
8.2,99505,99599,99505-99599,SB,20
8.2,99599,99817,99599-99817,SB,21
8.2,99817,99845,99817-99845,SB,22
8.2,99845,100761,99845-100761,SB,23
8.2,100761,101005,100761-101005,SB,24
8.2,101005,101093,101005-101093,SB,25
8.2,101093,101094,101093-101094,SB,26
8.2,101094,101089,101094-101089,SB,27
8.2,101089,101090,101089-101090,SB,28
8.2,101090,100648,101090-100648,SB,29
8.2,100648,100092,100648-100092,SB,30
9.1,87965,88553,87965-88553,EB,1
9.1,88553,90278,88553-90278,EB,2
9.1,90278,90951,90278-90951,EB,3
9.1,90951,91904,90951-91904,EB,4
9.1,91904,92219,91904-92219,EB,5
9.1,92219,95440,92219-95440,EB,6
9.1,95440,95563,95440-95563,EB,7
9.1,95563,96339,95563-96339,EB,8
9.1,96339,99140,96339-99140,EB,9
9.1,99140,99505,99140-99505,EB,10
9.2,99505,99140,99505-99140,WB,1
9.2,99140,96339,99140-96339,WB,2
9.2,96339,95563,96339-95563,WB,3
9.2,95563,95440,95563-95440,WB,4
9.2,95440,92219,95440-92219,WB,5
9.2,92219,91904,92219-91904,WB,6
9.2,91904,90951,91904-90951,WB,7
9.2,90951,90278,90951-90278,WB,8
9.2,90278,88553,90278-88553,WB,9
9.2,88553,87965,88553-87965,WB,10
10.1,88163,89252,88163-89252,EB,1
10.1,89252,90421,89252-90421,EB,2
10.1,90421,91169,90421-91169,EB,3
10.1,91169,91991,91169-91991,EB,4
10.1,91991,86395,91991-86395,EB,5
10.1,92790,95574,92790-95574,EB,6
10.1,95574,97303,95574-97303,EB,7
10.1,97303,97800,97303-97800,EB,8
10.2,97800,97303,97800-97303,WB,1
10.2,97303,95574,97303-95574,WB,2
10.2,95574,92790,95574-92790,WB,3
10.2,92790,91991,92790-91991,WB,4
10.2,91991,91169,91991-91169,WB,5
10.2,91169,90421,91169-90421,WB,6
10.2,90421,89252,90421-89252,WB,7
10.2,89252,88163,89252-88163,WB,8
11.1,91904,91930,91904-91930,NB,1
11.1,91930,91983,91930-91983,NB,2
11.1,91983,91991,91983-91991,NB,3
11.1,91991,92037,91991-92037,NB,4
11.1,92037,92064,92037-92064,NB,5
11.1,92064,92089,92064-92089,NB,6
11.1,92089,92135,92089-92135,NB,7
11.1,92135,92145,92135-92145,NB,8
11.2,92145,92135,92145-92135,SB,1
11.2,92135,92089,92135-92089,SB,2
11.2,92089,92064,92089-92064,SB,3
11.2,92064,92037,92064-92037,SB,4
11.2,92037,91991,92037-91991,SB,5
11.2,91991,91983,91991-91983,SB,6
11.2,91983,91930,91983-91930,SB,7
11.2,91930,91904,91930-91904,SB,8
12.1,75766,76474,75766-76474,EB,1
12.1,76474,78263,76474-78263,EB,2
12.1,78263,80564,78263-80564,EB,3
12.1,80564,80810,80564-80810,EB,4
12.1,80810,82999,80810-82999,EB,5
12.1,82999,84630,82999-84630,EB,6
12.1,84630,85527,84630-85527,EB,7
12.1,85527,198359,85527-198359,EB,8
12.1,198359,86344,198359-86344,EB,9
12.1,86344,86716,86344-86716,EB,10
12.1,86716,87164,86716-87164,EB,11
12.1,87164,87304,87164-87304,EB,12
12.1,87304,87638,87304-87638,EB,13
12.1,87638,88086,87638-88086,EB,14
12.1,88086,88189,88086-88189,EB,15
12.1,88189,88607,88189-88607,EB,16
12.1,88607,88969,88607-88969,EB,17
12.1,88969,90655,88969-90655,EB,18
12.1,90655,92516,90655-92516,EB,19
12.1,92516,92966,92516-92966,EB,20
12.1,92966,95691,92966-95691,EB,21
12.1,95691,96003,95691-96003,EB,22
12.1,96003,96500,96003-96500,EB,23
12.1,96500,98804,96500-98804,EB,24
12.1,98804,99117,98804-99117,EB,25
12.1,99117,99497,99117-99497,EB,26
12.1,99497,99750,99497-99750,EB,27
12.1,99750,100092,99750-100092,EB,28
12.1,100092,100216,100092-100216,EB,29
12.1,100216,100336,100216-100336,EB,30
12.1,100336,100842,100336-100842,EB,31
12.1,100842,101272,100842-101272,EB,32
12.2,101272,100842,101272-100842,WB,1
12.2,100842,100336,100842-100336,WB,2
12.2,100336,100216,100336-100216,WB,3
12.2,100216,100092,100216-100092,WB,4
12.2,100092,99750,100092-99750,WB,5
12.2,99750,99607,99750-99607,WB,6
12.2,99607,99117,99607-99117,WB,7
12.2,99117,98804,99117-98804,WB,8
12.2,98804,96500,98804-96500,WB,9
12.2,96500,96003,96500-96003,WB,10
12.2,96003,95691,96003-95691,WB,11
12.2,95691,92966,95691-92966,WB,12
12.2,92966,92516,92966-92516,WB,13
12.2,92516,90655,92516-90655,WB,14
12.2,90655,88969,90655-88969,WB,15
12.2,88969,88607,88969-88607,WB,16
12.2,88607,88189,88607-88189,WB,17
12.2,88189,88086,88189-88086,WB,18
12.2,88086,87638,88086-87638,WB,19
12.2,87638,87304,87638-87304,WB,20
12.2,87304,87164,87304-87164,WB,21
12.2,87164,86716,87164-86716,WB,22
12.2,86716,86344,86716-86344,WB,23
12.2,86344,198359,86344-198359,WB,24
12.2,198359,85527,198359-85527,WB,25
12.2,85527,84630,85527-84630,WB,26
12.2,84630,83003,84630-83003,,27
12.2,83003,80815,83003-80815,WB,28
12.2,80815,80564,80815-80564,WB,29
12.2,80564,78263,80564-78263,WB,30
12.2,78263,76474,78263-76474,WB,31
12.2,76474,75766,76474-75766,WB,32
13.1,74250,74298,74250-74298,NB,1
13.1,74298,74305,74298-74305,NB,2
13.1,74305,74363,74305-74363,NB,3
13.1,74363,74452,74363-74452,NB,4
13.1,74452,86395,74452-86395,NB,5
13.1,75188,75491,75188-75491,NB,6
13.1,75491,75579,75491-75579,NB,7
13.1,75579,75596,75579-75596,NB,8
13.1,75596,75531,75596-75531,NB,9
13.1,75531,75206,75531-75206,NB,10
13.1,75206,74972,75206-74972,NB,11
13.1,74972,75404,74972-75404,NB,12
13.1,75404,75555,75404-75555,NB,13
13.1,75555,75766,75555-75766,NB,14
13.2,75766,75555,75766-75555,SB,1
13.2,75555,75404,75555-75404,SB,2
13.2,75404,74972,75404-74972,SB,3
13.2,74972,75206,74972-75206,SB,4
13.2,75206,75531,75206-75531,SB,5
13.2,75531,75596,75531-75596,SB,6
13.2,75596,75579,75596-75579,SB,7
13.2,75579,75491,75579-75491,SB,8
13.2,75491,75188,75491-75188,SB,9
13.2,75188,74452,75188-74452,SB,10
13.2,74452,74363,74452-74363,SB,11
13.2,74363,74305,74363-74305,SB,12
13.2,74305,74298,74305-74298,SB,13
13.2,74298,74250,74298-74250,SB,14
14.1,83879,83897,83879-83897,NB,1
14.1,83897,83888,83897-83888,NB,2
14.1,83888,198304,83888-198304,NB,3
14.1,198304,198817,198304-198817,NB,4
14.1,198817,85279,198817-85279,NB,5
14.1,85279,85284,85279-85284,NB,6
14.1,85284,86320,85284-86320,NB,7
14.1,86320,86493,86320-86493,NB,8
14.1,86493,86581,86493-86581,NB,9
14.1,86581,86629,86581-86629,NB,10
14.1,86629,86714,86629-86714,NB,11
14.1,86714,86716,86714-86716,NB,12
14.2,86716,86548,86716-86548,SB,1
14.2,86548,86497,86548-86497,SB,2
14.2,86497,86386,86497-86386,SB,3
14.2,86386,85251,86386-85251,SB,4
14.2,85251,85193,85251-85193,SB,5
14.2,85193,85190,85193-85190,SB,6
14.2,85190,198817,85190-198817,SB,7
14.2,198817,198304,198817-198304,SB,8
14.2,198304,83888,198304-83888,SB,9
14.2,83888,83897,83888-83897,SB,10
14.2,83897,83879,83897-83879,SB,11
15.1,86111,86141,86111-86141,NB,1
15.1,86141,86187,86141-86187,NB,2
15.1,86187,86573,86187-86573,NB,3
15.1,86573,86792,86573-86792,NB,4
15.1,86792,86787,86792-86787,NB,5
15.1,86787,86864,86787-86864,NB,6
15.1,86864,87102,86864-87102,NB,7
15.1,87102,87457,87102-87457,NB,8
15.1,87457,87498,87457-87498,NB,9
15.1,87498,199409,87498-199409,NB,10
15.1,199409,87770,199409-87770,NB,11
15.1,87770,87887,87770-87887,NB,12
15.1,87887,87995,87887-87995,NB,13
15.1,87995,88194,87995-88194,NB,14
15.1,88194,88218,88194-88218,NB,15
15.1,88218,88222,88218-88222,NB,16
15.1,88222,88202,88222-88202,NB,17
15.1,88202,88189,88202-88189,NB,18
15.2,88086,88107,88086-88107,NB,1
15.2,88107,88152,88107-88152,NB,2
15.2,88152,88135,88152-88135,EB,3
15.2,88135,87951,88135-87951,EB,4
15.2,87951,87870,87951-87870,EB,5
15.2,87870,87705,87870-87705,EB,6
15.2,87705,199408,87705-199408,EB,7
15.2,199408,87503,199408-87503,EB,8
15.2,87503,87431,87503-87431,EB,9
15.2,87431,87390,87431-87390,EB,10
15.2,87390,87214,87390-87214,EB,11
15.2,87214,87102,87214-87102,EB,12
15.2,87102,86780,87102-86780,EB,13
15.2,86780,86787,86780-86787,EB,14
15.2,86787,86563,86787-86563,WB,15
15.2,86563,86057,86563-86057,WB,16
15.2,86057,85996,86057-85996,WB,17
16.1,90469,90529,90469-90529,NB,1
16.1,90529,90545,90529-90545,NB,2
16.1,90545,90729,90545-90729,NB,3
16.1,90729,90802,90729-90802,NB,4
16.1,90802,90822,90802-90822,NB,5
16.1,90822,90870,90822-90870,NB,6
16.1,90870,91639,90870-91639,NB,7
16.1,91639,92342,91639-92342,NB,8
16.1,92342,92437,92342-92437,NB,9
16.1,92437,92596,92437-92596,NB,10
16.1,92596,92384,92596-92384,NB,11
16.1,92384,92458,92384-92458,NB,12
16.1,92458,92609,92458-92609,NB,13
16.1,92609,92836,92609-92836,NB,14
16.1,92836,94328,92836-94328,NB,15
16.1,94328,98617,94328-98617,NB,16
16.1,98617,99899,98617-99899,NB,17
16.1,99899,100092,99899-100092,NB,18
16.2,100092,99899,100092-99899,SB,1
16.2,99899,98617,99899-98617,SB,2
16.2,98617,94328,98617-94328,SB,3
16.2,94328,92836,94328-92836,SB,4
16.2,92836,92609,92836-92609,SB,5
16.2,92609,92458,92609-92458,SB,6
16.2,92458,92384,92458-92384,SB,7
16.2,92384,92596,92384-92596,SB,8
16.2,92596,92437,92596-92437,SB,9
16.2,92437,92342,92437-92342,SB,10
16.2,92342,91639,92342-91639,SB,11
16.2,91639,90870,91639-90870,SB,12
16.2,90870,90822,90870-90822,SB,13
16.2,90822,90802,90822-90802,SB,14
16.2,90802,90729,90802-90729,SB,15
16.2,90729,90545,90729-90545,SB,16
16.2,90545,90529,90545-90529,SB,17
16.2,90529,90469,90529-90469,SB,18
17.1,74452,75333,74452-75333,EB,1
17.1,75333,76329,75333-76329,EB,2
17.1,76329,79832,76329-79832,EB,3
17.1,79832,80283,79832-80283,EB,4
17.1,80283,86395,80283-86395,EB,5
17.1,198828,198357,198828-198357,EB,6
17.1,198357,198358,198357-198358,EB,7
17.1,198358,83808,198358-83808,EB,8
17.1,83808,84971,83808-84971,EB,9
17.1,84971,85193,84971-85193,EB,10
17.1,85193,85284,85193-85284,EB,11
17.1,85284,85686,85284-85686,EB,12
17.1,85686,86487,85686-86487,EB,13
17.1,86487,86670,86487-86670,EB,14
17.1,86670,86702,86670-86702,EB,15
17.1,86702,86859,86702-86859,EB,16
17.1,86859,86986,86859-86986,EB,17
17.1,86986,87390,86986-87390,EB,18
17.1,87390,87498,87390-87498,EB,19
17.1,87498,87872,87498-87872,EB,20
17.1,87872,88362,87872-88362,EB,21
17.1,88362,89820,88362-89820,EB,22
17.1,89820,91990,89820-91990,EB,23
17.1,91990,92209,91990-92209,EB,24
17.1,92209,92609,92209-92609,EB,25
17.2,92609,92209,92609-92209,WB,1
17.2,92209,91990,92209-91990,WB,2
17.2,91990,89820,91990-89820,WB,3
17.2,89820,88362,89820-88362,WB,4
17.2,88362,87872,88362-87872,WB,5
17.2,87872,87498,87872-87498,WB,6
17.2,87498,87390,87498-87390,WB,7
17.2,87390,86986,87390-86986,WB,8
17.2,86986,86859,86986-86859,WB,9
17.2,86859,86702,86859-86702,WB,10
17.2,86702,86670,86702-86670,WB,11
17.2,86670,86487,86670-86487,WB,12
17.2,86487,85686,86487-85686,WB,13
17.2,85686,85284,85686-85284,WB,14
17.2,85284,85193,85284-85193,WB,15
17.2,85193,84971,85193-84971,WB,16
17.2,84971,83808,84971-83808,WB,17
17.2,83808,198358,83808-198358,WB,18
17.2,198358,198357,198358-198357,WB,19
17.2,198357,198828,198357-198828,WB,20
17.2,198828,80283,198828-80283,WB,21
17.2,80283,79832,80283-79832,WB,22
17.2,79832,76329,79832-76329,WB,23
17.2,76329,75333,76329-75333,WB,24
17.2,75333,74452,75333-74452,WB,25
