purpose,outbound,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_30,1_31,1_32,1_33,1_34,1_35,1_36,1_37,1_38,1_39,1_40,1_41,1_42,1_43,1_44,1_45,1_46,1_47,1_48,2_48,3_48,4_48,5_48,6_48,7_48,8_48,9_48,10_48,11_48,12_48,13_48,14_48,15_48,16_48,17_48,18_48,19_48,20_48,21_48,22_48,23_48,24_48,25_48,26_48,27_48,28_48,29_48,30_48,31_48,32_48,33_48,34_48,35_48,36_48,37_48,38_48,39_48,40_48,41_48,42_48,43_48,44_48,45_48,46_48,47_48,48_48
purp0_perc,True,0.01155656599801735,0.01471063110997664,0.017957291835122947,0.0210999464503261,0.023963234857868266,0.026422829879146972,0.028420584802372233,0.029961591308353977,0.031095913571827057,0.031892647359604065,0.032415704572578724,0.032708898888980875,0.032793525247663005,0.03267660717970537,0.032364270131777985,0.031873511823062986,0.031237184662159533,0.03050049824454127,0.02971128470324076,0.02890891856541759,0.028116955285368134,0.027342288996438924,0.02658028134003832,0.02582275776864631,0.025065211329453763,0.024310805994040542,0.023570576664966914,0.02286036303838701,0.022195237382016765,0.021582184768615897,0.02101233057117828,0.020455048900919006,0.019856943042263993,0.019148004152546045,0.018255056521286193,0.017119730392672013,0.01571600105659266,0.014061830467463805,0.012220885863585771,0.010293145061156772,0.008396450756557218,0.0066437313881301625,0.005121889291986292,0.003877877167223336,0.0029153186834755753,0.002201775633464857,0.0016834755257946995,0.001302201763987034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purp1_perc,True,0.01155656599801735,0.01471063110997664,0.017957291835122947,0.0210999464503261,0.023963234857868266,0.026422829879146972,0.028420584802372233,0.029961591308353977,0.031095913571827057,0.031892647359604065,0.032415704572578724,0.032708898888980875,0.032793525247663005,0.03267660717970537,0.032364270131777985,0.031873511823062986,0.031237184662159533,0.03050049824454127,0.02971128470324076,0.02890891856541759,0.028116955285368134,0.027342288996438924,0.02658028134003832,0.02582275776864631,0.025065211329453763,0.024310805994040542,0.023570576664966914,0.02286036303838701,0.022195237382016765,0.021582184768615897,0.02101233057117828,0.020455048900919006,0.019856943042263993,0.019148004152546045,0.018255056521286193,0.017119730392672013,0.01571600105659266,0.014061830467463805,0.012220885863585771,0.010293145061156772,0.008396450756557218,0.0066437313881301625,0.005121889291986292,0.003877877167223336,0.0029153186834755753,0.002201775633464857,0.0016834755257946995,0.001302201763987034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purp2_perc,True,0.01155656599801735,0.01471063110997664,0.017957291835122947,0.0210999464503261,0.023963234857868266,0.026422829879146972,0.028420584802372233,0.029961591308353977,0.031095913571827057,0.031892647359604065,0.032415704572578724,0.032708898888980875,0.032793525247663005,0.03267660717970537,0.032364270131777985,0.031873511823062986,0.031237184662159533,0.03050049824454127,0.02971128470324076,0.02890891856541759,0.028116955285368134,0.027342288996438924,0.02658028134003832,0.02582275776864631,0.025065211329453763,0.024310805994040542,0.023570576664966914,0.02286036303838701,0.022195237382016765,0.021582184768615897,0.02101233057117828,0.020455048900919006,0.019856943042263993,0.019148004152546045,0.018255056521286193,0.017119730392672013,0.01571600105659266,0.014061830467463805,0.012220885863585771,0.010293145061156772,0.008396450756557218,0.0066437313881301625,0.005121889291986292,0.003877877167223336,0.0029153186834755753,0.002201775633464857,0.0016834755257946995,0.001302201763987034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purp3_perc,True,0.01155656599801735,0.01471063110997664,0.017957291835122947,0.0210999464503261,0.023963234857868266,0.026422829879146972,0.028420584802372233,0.029961591308353977,0.031095913571827057,0.031892647359604065,0.032415704572578724,0.032708898888980875,0.032793525247663005,0.03267660717970537,0.032364270131777985,0.031873511823062986,0.031237184662159533,0.03050049824454127,0.02971128470324076,0.02890891856541759,0.028116955285368134,0.027342288996438924,0.02658028134003832,0.02582275776864631,0.025065211329453763,0.024310805994040542,0.023570576664966914,0.02286036303838701,0.022195237382016765,0.021582184768615897,0.02101233057117828,0.020455048900919006,0.019856943042263993,0.019148004152546045,0.018255056521286193,0.017119730392672013,0.01571600105659266,0.014061830467463805,0.012220885863585771,0.010293145061156772,0.008396450756557218,0.0066437313881301625,0.005121889291986292,0.003877877167223336,0.0029153186834755753,0.002201775633464857,0.0016834755257946995,0.001302201763987034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purp4_perc,True,0.01155656599801735,0.01471063110997664,0.017957291835122947,0.0210999464503261,0.023963234857868266,0.026422829879146972,0.028420584802372233,0.029961591308353977,0.031095913571827057,0.031892647359604065,0.032415704572578724,0.032708898888980875,0.032793525247663005,0.03267660717970537,0.032364270131777985,0.031873511823062986,0.031237184662159533,0.03050049824454127,0.02971128470324076,0.02890891856541759,0.028116955285368134,0.027342288996438924,0.02658028134003832,0.02582275776864631,0.025065211329453763,0.024310805994040542,0.023570576664966914,0.02286036303838701,0.022195237382016765,0.021582184768615897,0.02101233057117828,0.020455048900919006,0.019856943042263993,0.019148004152546045,0.018255056521286193,0.017119730392672013,0.01571600105659266,0.014061830467463805,0.012220885863585771,0.010293145061156772,0.008396450756557218,0.0066437313881301625,0.005121889291986292,0.003877877167223336,0.0029153186834755753,0.002201775633464857,0.0016834755257946995,0.001302201763987034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purp5_perc,True,0.01155656599801735,0.01471063110997664,0.017957291835122947,0.0210999464503261,0.023963234857868266,0.026422829879146972,0.028420584802372233,0.029961591308353977,0.031095913571827057,0.031892647359604065,0.032415704572578724,0.032708898888980875,0.032793525247663005,0.03267660717970537,0.032364270131777985,0.031873511823062986,0.031237184662159533,0.03050049824454127,0.02971128470324076,0.02890891856541759,0.028116955285368134,0.027342288996438924,0.02658028134003832,0.02582275776864631,0.025065211329453763,0.024310805994040542,0.023570576664966914,0.02286036303838701,0.022195237382016765,0.021582184768615897,0.02101233057117828,0.020455048900919006,0.019856943042263993,0.019148004152546045,0.018255056521286193,0.017119730392672013,0.01571600105659266,0.014061830467463805,0.012220885863585771,0.010293145061156772,0.008396450756557218,0.0066437313881301625,0.005121889291986292,0.003877877167223336,0.0029153186834755753,0.002201775633464857,0.0016834755257946995,0.001302201763987034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purp0_perc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008114709923955712,0.0012166475088600537,0.0017777315161090013,0.0025337235214911553,0.003525396411245744,0.004792295282870751,0.006368009649294417,0.00827305301546549,0.010505490727779267,0.01303104029909431,0.015775991693364643,0.018626832674801093,0.02143916729167715,0.02405561994742988,0.02632909214192761,0.028145447975925476,0.029439497629912572,0.030200256273716142,0.03046518483713107,0.03030697033968608,0.02981857429340765,0.029101605652382283,0.028259941798543513,0.02739687675054269,0.026612249030836168,0.025997039202878477,0.02562578141305794,0.025549449912268048,0.025791436734480335,0.02634696701207665,0.027183760516468918,0.028241132569310445,0.029426733131080733,0.030613451772021388,0.031641371491796806,0.03232932539176584,0.032497457841315955,0.031997555843108906,0.030743824148599858,0.028735066286901936,0.026060870862094566,0.02288903617944384,0.019437366574861902,0.015937668327896195,0.012601302948522164,0.00959370659998855,0.0070212919077709554,0.0049302360763996975
purp1_perc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008114709923955712,0.0012166475088600537,0.0017777315161090013,0.0025337235214911553,0.003525396411245744,0.004792295282870751,0.006368009649294417,0.00827305301546549,0.010505490727779267,0.01303104029909431,0.015775991693364643,0.018626832674801093,0.02143916729167715,0.02405561994742988,0.02632909214192761,0.028145447975925476,0.029439497629912572,0.030200256273716142,0.03046518483713107,0.03030697033968608,0.02981857429340765,0.029101605652382283,0.028259941798543513,0.02739687675054269,0.026612249030836168,0.025997039202878477,0.02562578141305794,0.025549449912268048,0.025791436734480335,0.02634696701207665,0.027183760516468918,0.028241132569310445,0.029426733131080733,0.030613451772021388,0.031641371491796806,0.03232932539176584,0.032497457841315955,0.031997555843108906,0.030743824148599858,0.028735066286901936,0.026060870862094566,0.02288903617944384,0.019437366574861902,0.015937668327896195,0.012601302948522164,0.00959370659998855,0.0070212919077709554,0.0049302360763996975
purp2_perc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008114709923955712,0.0012166475088600537,0.0017777315161090013,0.0025337235214911553,0.003525396411245744,0.004792295282870751,0.006368009649294417,0.00827305301546549,0.010505490727779267,0.01303104029909431,0.015775991693364643,0.018626832674801093,0.02143916729167715,0.02405561994742988,0.02632909214192761,0.028145447975925476,0.029439497629912572,0.030200256273716142,0.03046518483713107,0.03030697033968608,0.02981857429340765,0.029101605652382283,0.028259941798543513,0.02739687675054269,0.026612249030836168,0.025997039202878477,0.02562578141305794,0.025549449912268048,0.025791436734480335,0.02634696701207665,0.027183760516468918,0.028241132569310445,0.029426733131080733,0.030613451772021388,0.031641371491796806,0.03232932539176584,0.032497457841315955,0.031997555843108906,0.030743824148599858,0.028735066286901936,0.026060870862094566,0.02288903617944384,0.019437366574861902,0.015937668327896195,0.012601302948522164,0.00959370659998855,0.0070212919077709554,0.0049302360763996975
purp3_perc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008114709923955712,0.0012166475088600537,0.0017777315161090013,0.0025337235214911553,0.003525396411245744,0.004792295282870751,0.006368009649294417,0.00827305301546549,0.010505490727779267,0.01303104029909431,0.015775991693364643,0.018626832674801093,0.02143916729167715,0.02405561994742988,0.02632909214192761,0.028145447975925476,0.029439497629912572,0.030200256273716142,0.03046518483713107,0.03030697033968608,0.02981857429340765,0.029101605652382283,0.028259941798543513,0.02739687675054269,0.026612249030836168,0.025997039202878477,0.02562578141305794,0.025549449912268048,0.025791436734480335,0.02634696701207665,0.027183760516468918,0.028241132569310445,0.029426733131080733,0.030613451772021388,0.031641371491796806,0.03232932539176584,0.032497457841315955,0.031997555843108906,0.030743824148599858,0.028735066286901936,0.026060870862094566,0.02288903617944384,0.019437366574861902,0.015937668327896195,0.012601302948522164,0.00959370659998855,0.0070212919077709554,0.0049302360763996975
purp4_perc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008114709923955712,0.0012166475088600537,0.0017777315161090013,0.0025337235214911553,0.003525396411245744,0.004792295282870751,0.006368009649294417,0.00827305301546549,0.010505490727779267,0.01303104029909431,0.015775991693364643,0.018626832674801093,0.02143916729167715,0.02405561994742988,0.02632909214192761,0.028145447975925476,0.029439497629912572,0.030200256273716142,0.03046518483713107,0.03030697033968608,0.02981857429340765,0.029101605652382283,0.028259941798543513,0.02739687675054269,0.026612249030836168,0.025997039202878477,0.02562578141305794,0.025549449912268048,0.025791436734480335,0.02634696701207665,0.027183760516468918,0.028241132569310445,0.029426733131080733,0.030613451772021388,0.031641371491796806,0.03232932539176584,0.032497457841315955,0.031997555843108906,0.030743824148599858,0.028735066286901936,0.026060870862094566,0.02288903617944384,0.019437366574861902,0.015937668327896195,0.012601302948522164,0.00959370659998855,0.0070212919077709554,0.0049302360763996975
purp5_perc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008114709923955712,0.0012166475088600537,0.0017777315161090013,0.0025337235214911553,0.003525396411245744,0.004792295282870751,0.006368009649294417,0.00827305301546549,0.010505490727779267,0.01303104029909431,0.015775991693364643,0.018626832674801093,0.02143916729167715,0.02405561994742988,0.02632909214192761,0.028145447975925476,0.029439497629912572,0.030200256273716142,0.03046518483713107,0.03030697033968608,0.02981857429340765,0.029101605652382283,0.028259941798543513,0.02739687675054269,0.026612249030836168,0.025997039202878477,0.02562578141305794,0.025549449912268048,0.025791436734480335,0.02634696701207665,0.027183760516468918,0.028241132569310445,0.029426733131080733,0.030613451772021388,0.031641371491796806,0.03232932539176584,0.032497457841315955,0.031997555843108906,0.030743824148599858,0.028735066286901936,0.026060870862094566,0.02288903617944384,0.019437366574861902,0.015937668327896195,0.012601302948522164,0.00959370659998855,0.0070212919077709554,0.0049302360763996975
